epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1848,1.57068,0.8793,0.00513,0.72103,0.7027,0.73411,0.36083,1.95921,1.07473,0.0087,0.000656085,0.000656085,0.000656085
2,135.611,1.68784,0.91527,0.00547,0.70711,0.69932,0.71316,0.33665,1.92814,1.41067,0.00815,0.00106085,0.00106085,0.00106085
3,203.125,1.67482,0.95126,0.00639,0.69938,0.66021,0.68485,0.30734,2.00831,1.32809,0.0085,0.00120161,0.00120161,0.00120161
4,270.334,1.73849,0.99464,0.00605,0.70218,0.74079,0.74714,0.36913,1.90127,1.0735,0.00764,0.000812,0.000812,0.000812
5,337.766,1.75293,1.00885,0.00608,0.70676,0.72297,0.74791,0.36808,1.88604,1.08865,0.00749,0.000416,0.000416,0.000416
