epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1127,1.80641,7.07918,0.00627,0.25723,0.12838,0.10567,0.06115,1.62842,7.99639,0.00593,0.000656085,0.000656085,0.000656085
2,140.342,1.88964,4.51187,0.00632,0.54794,0.51014,0.50437,0.21865,1.85528,5.11851,0.00773,0.00106085,0.00106085,0.00106085
3,209.125,1.86026,3.39281,0.00701,0.62164,0.56419,0.56398,0.24775,1.98226,3.37257,0.00908,0.00120161,0.00120161,0.00120161
4,277.817,1.85551,2.644,0.00673,0.64096,0.59797,0.64018,0.31654,1.87561,2.6071,0.00788,0.000812,0.000812,0.000812
5,345.892,1.82718,2.27503,0.00652,0.67818,0.61824,0.67862,0.33726,1.77679,2.33554,0.00723,0.000416,0.000416,0.000416
