epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.32,2.83549,3.57501,0.00571,0.01,0.27561,0.05992,0.03288,2.0936,4.47549,0.00529,0.000656085,0.000656085,0.000656085
2,188.177,2.54903,2.45604,0.00449,0.60233,0.35508,0.38618,0.18144,2.1488,2.95175,0.00576,0.00106085,0.00106085,0.00106085
3,334.033,2.57651,2.16808,0.00451,0.63877,0.39642,0.42484,0.18805,2.2987,2.44365,0.00633,0.00120161,0.00120161,0.00120161
4,464.856,2.57258,2.01997,0.00428,0.65445,0.37988,0.43311,0.21524,2.10885,2.17425,0.00547,0.000812,0.000812,0.000812
5,548.68,2.47115,1.88849,0.0041,0.62551,0.43087,0.46175,0.20896,2.10792,2.00664,0.00543,0.000416,0.000416,0.000416
